lat,lon,osm_category,osm_type,place_name
51.5156512,-0.1086168,amenity,restaurant,natural kitchen
51.5133205,-0.0999854,amenity,restaurant,yo! sushi
51.5127516,-0.083609,amenity,restaurant,pizzaexpress
51.5154484,-0.0755052,amenity,restaurant,asta 3
51.5202933,-0.0811838,amenity,restaurant,piccolino
51.5148965,-0.0782269,amenity,restaurant,fora restaurant
51.5188341,-0.0792231,amenity,restaurant,pizzaexpress
51.5094421,-0.0841004,amenity,restaurant,the rajasthan i
51.5125041,-0.0988759,amenity,restaurant,miyama
51.5115315,-0.0754346,amenity,restaurant,the crosswall
51.5098153,-0.0783932,amenity,restaurant,traitor's gate
51.5127258,-0.0852031,amenity,restaurant,gaucho
51.5125079,-0.0831888,amenity,restaurant,we grill
51.5127036,-0.0832797,amenity,restaurant,la tasca
51.5127807,-0.0833059,amenity,restaurant,osteria del mercato
51.510634,-0.077099,amenity,restaurant,keepers
51.5088796,-0.0789428,amenity,restaurant,wagamama
51.5089063,-0.0790823,amenity,restaurant,dream xi'an
51.51122,-0.0776408,amenity,restaurant,orpheus
51.51072,-0.080403,amenity,restaurant,china delight
51.5121056,-0.0791858,amenity,restaurant,cafe brera
51.5126115,-0.0836564,amenity,restaurant,chamberlain's
51.5121986,-0.083673,amenity,restaurant,giorgio
51.5132501,-0.0997714,amenity,restaurant,pizzaexpress
51.5128943,-0.1094514,amenity,restaurant,pegasus
51.5147056,-0.1092953,amenity,restaurant,the india - fleet street
51.5105459,-0.0793701,amenity,restaurant,the lampery
51.512412,-0.075709,amenity,restaurant,thai square
51.5152012,-0.0751222,amenity,restaurant,barcelona tapas
51.5108253,-0.0845519,amenity,restaurant,atis
51.51201,-0.08915,amenity,restaurant,bibimbap
51.5131003,-0.0889797,amenity,restaurant,1 lombard street
51.513987,-0.085556,amenity,restaurant,wheeler's rib room and oyster bar
51.5117846,-0.1081089,amenity,restaurant,tempio bar & restaurant
51.5145763,-0.0996723,amenity,restaurant,paternoster chop house
51.5190326,-0.0898678,amenity,restaurant,the cuban
51.5097295,-0.0787496,amenity,restaurant,bodean's
51.5103728,-0.0833866,amenity,restaurant,k place
51.511151,-0.0790157,amenity,restaurant,le paris grill
51.5140407,-0.0908026,amenity,restaurant,browns
51.5180932,-0.1002995,amenity,hospital_department,gamma knife & reproductive medice
51.5151325,-0.0965337,amenity,restaurant,haz st paul's
51.5166596,-0.1111115,amenity,restaurant,vanilla black
51.51714,-0.107769,amenity,restaurant,guido's
51.5131634,-0.0941578,amenity,restaurant,kurumaya
51.509227,-0.0800317,amenity,restaurant,zizzi
51.5109803,-0.0816178,amenity,restaurant,camino
51.5210895,-0.0926896,amenity,restaurant,côte brasserie
51.5196784,-0.0847176,amenity,restaurant,nyokee
51.5101313,-0.0842444,amenity,restaurant,l'antipasto city
51.5130738,-0.092593,amenity,restaurant,k10
51.5143849,-0.0864373,amenity,restaurant,brasserie blanc
