borough_code,borough_name,avg_price,population,hectares,population_per_hectare,crime_count,amenity_count,amenity_diversity,crime_per_capita
E05000026,Barking And Dagenham,154721.94382022473,791030,5116.0,154.618842847,39156,,,0.04950001896261836
E05000027,Barking And Dagenham,154721.94382022473,466271,5444.0,85.648603967,39156,,,0.08397691471268855
E05000028,Barking And Dagenham,154721.94382022473,566698,5136.0,110.33839564825,39156,,,0.06909500298218804
E05000029,Barking And Dagenham,154721.94382022473,449004,13520.0,33.210355029750005,39156,,,0.08720635005478793
E05000030,Barking And Dagenham,154721.94382022473,453890,13816.0,32.852489867,39156,,,0.08626759787613739
E05000031,Barking And Dagenham,154721.94382022473,490011,5780.0,84.77698961875,39156,,,0.07990841021936242
E05000032,Barking And Dagenham,154721.94382022473,813252,4536.0,179.2883597875,39156,,,0.04814743769458913
E05000033,Barking And Dagenham,154721.94382022473,498295,5120.0,97.3232421875,39156,,,0.07857995765560562
E05000034,Barking And Dagenham,154721.94382022473,468545,8020.0,58.42206982625,39156,,,0.08356934766137725
E05000035,Barking And Dagenham,154721.94382022473,486352,6560.0,74.13902439099999,39156,,,0.08050958976214757
E05000036,Barking And Dagenham,154721.94382022473,448175,7404.0,60.531469476,39156,,,0.08736765772298767
E05000037,Barking And Dagenham,154721.94382022473,398630,4972.0,80.17497988725,39156,,,0.09822642550736271
E05000038,Barking And Dagenham,154721.94382022473,731069,14208.0,51.454743806500005,39156,,,0.05355992389227282
E05000039,Barking And Dagenham,154721.94382022473,1930232,31536.0,61.2072551985,39156,,,0.020285644419945376
E05000040,Barking And Dagenham,154721.94382022473,462200,5172.0,89.365815931,39156,,,0.08471657291215924
E05000041,Barking And Dagenham,154721.94382022473,461268,8560.0,53.88644859775,39156,,,0.08488774421811181
E05000042,Barking And Dagenham,154721.94382022473,606429,6216.0,97.559362929,39156,,,0.06456815224865566
E05000043,Barnet,342576.37078651687,742287,12696.0,58.466209829499995,55640,,,0.07495752990420147
E05000044,Barnet,342576.37078651687,818375,8256.0,99.12487887900001,55640,,,0.06798839162975409
E05000045,Barnet,342576.37078651687,938849,12356.0,75.98324700575,55640,,,0.059264056307244295
E05000046,Barnet,342576.37078651687,1407945,10568.0,133.22719529850002,55640,,,0.039518589149434104
E05000047,Barnet,342576.37078651687,719771,10880.0,66.15542279325,55640,,,0.07730236422417686
E05000048,Barnet,342576.37078651687,736611,15008.0,49.0812233475,55640,,,0.07553511962216149
E05000049,Barnet,342576.37078651687,684423,10096.0,67.7915015845,55640,,,0.08129475485189715
E05000050,Barnet,342576.37078651687,896275,22240.0,40.300134892,55640,,,0.06207916097179995
E05000051,Barnet,342576.37078651687,681235,10836.0,62.8677556295,55640,,,0.0816751928482829
E05000052,Barnet,342576.37078651687,659218,18924.0,34.8350243075,55640,,,0.08440303511129854
E05000053,Barnet,342576.37078651687,1359232,11912.0,114.10611148525,55640,,,0.04093488087390527
E05000054,Barnet,342576.37078651687,748567,21688.0,34.51526189625,55640,,,0.07432868400557331
E05000055,Barnet,342576.37078651687,813527,11360.0,71.61329225375,55640,,,0.06839355055210214
E05000056,Barnet,342576.37078651687,664959,33236.0,20.00719099825,55640,,,0.08367433180090803
E05000057,Barnet,342576.37078651687,1039334,37548.0,27.68014275075,55640,,,0.05353428253092846
E05000058,Barnet,342576.37078651687,682815,13268.0,51.4632951465,55640,,,0.08148620050819036
E05000059,Barnet,342576.37078651687,751173,35072.0,21.41802577525,55640,,,0.07407081990433628
